ID,capt,area,clust2,clust
BH-00670,KB,WRB,BW int saline|cold,BW int saline|cold
BH-00681,WB,NRB,BW Low saline|shift,BW Low saline|shift
BH-00685,WB,NRB,BW Low saline|shift,BW Low saline|shift
BH-00689,WB,NRB,BW high saline|warm,BW high saline|warm
BH-00696,WB,NRB,BW int saline|cold,BW int saline|cold
BH-00729,SB,WRB,BW high saline|cold,BW high saline|cold
BH-00730,SB,WRB,BW high saline|warm,BW high saline|warm
BH-00732,SB,WRB,BW Low saline|shift,BW Low saline|shift
BH-00742,GB,GB,BW Low saline|shift,BW Low saline|shift
BH-00750,GB,GB,BW Low saline|shift,BW Low saline|shift
BH-01555,BEG,NRB,BW high saline|warm,BW high saline|warm
BH-01556,BEG,NRB,BW int saline|cold,BW int saline|cold
BH-01560,BEG,NRB,BW int saline|cold,BW int saline|cold
BH-01567,BEG,NRB,BW Low saline|shift,BW Low saline|shift
BH-01569,BEG,NRB,BW Low saline|shift,BW Low saline|shift
BH-01570,BEG,NRB,BW high saline|cold,BW high saline|cold
BH-01571,BEG,NRB,BW Low saline|shift,BW Low saline|shift
BH-01576,BEG,NRB,BW int saline|cold,BW int saline|cold
BH-01580,BEG,NRB,BW Low saline|shift,BW Low saline|shift
BH-01582,BEG,NRB,BW int saline|cold,BW int saline|cold
BH-01585,WB,NRB,BW high saline|warm,BW high saline|warm
BH-01588,KJB,NRB,BW int saline|cold,BW int saline|cold
BH-01594,WB,NRB,BW high saline|warm,BW high saline|warm
BH-01595,WB,NRB,BW Low saline|shift,BW Low saline|shift
BH-01596,GJB,NRB,BW Low saline|shift,BW Low saline|shift
BH-01598,GJB,NRB,BW int saline|cold,BW int saline|cold
BH-01713,SB,WRB,BW int saline|cold,BW int saline|cold
BH-01717,BEG,NRB,BW int saline|cold,BW int saline|cold
BH-01719,SB,WRB,BW Low saline|shift,BW Low saline|shift
BH-01722,BEG,NRB,BW high saline|cold,BW high saline|cold
BH-01731,SB,WRB,BW high saline|cold,BW high saline|cold
BH-01737,KB,WRB,BW high saline|warm,BW high saline|warm
BH-01738,SB,WRB,BW high saline|warm,BW high saline|warm
BH-01758,SB,WRB,BW high saline|warm,BW high saline|warm
BH-01789,KB,WRB,BW Low saline|shift,BW Low saline|shift
BH-01802,SB,WRB,BW high saline|warm,BW high saline|warm
BH-01803,SB,WRB,BW int saline|cold,BW int saline|cold
BH-01809,KB,WRB,BW int saline|cold,BW int saline|cold
BH-01812,SB,WRB,BW high saline|warm,BW high saline|warm
BH-01814,KB,WRB,BW high saline|warm,BW high saline|warm
BH-01819,KB,WRB,BW high saline|warm,BW high saline|warm
BH-01835,KB,WRB,BW high saline|warm,BW high saline|warm
BH-01846,BEG,NRB,BW high saline|cold,BW high saline|cold
BH-01850,BEG,NRB,BW int saline|cold,BW int saline|cold
BH-01855,SB,WRB,BW high saline|warm,BW high saline|warm
BH-01860,KB,WRB,BW high saline|warm,BW high saline|warm
BH-01867,SB,WRB,BW int saline|cold,BW int saline|cold
BH-01868,SB,WRB,BW high saline|warm,BW high saline|warm
BH-01869,SB,WRB,BW high saline|warm,BW high saline|warm
BH-01882,GB,GB,BW Low saline|shift,BW Low saline|shift
BH-01883,GB,GB,BW int saline|cold,BW int saline|cold
BH-01885,GB,GB,BW int saline|cold,BW int saline|cold
BH-01889,GB,GB,BW Low saline|shift,BW Low saline|shift
BH-01891,GB,GB,BW high saline|warm,BW high saline|warm
BH-01892,GB,GB,BW int saline|cold,BW int saline|cold
BH-01893,GB,GB,BW Low saline|shift,BW Low saline|shift
BH-01897,GB,GB,BW Low saline|shift,BW Low saline|shift
BH-01898,GB,GB,BW Low saline|shift,BW Low saline|shift
BH-01899,GB,GB,BW Low saline|shift,BW Low saline|shift
BH-01900,GB,GB,BW Low saline|shift,BW Low saline|shift
BH-01902,GB,GB,BW high saline|warm,BW high saline|warm
BH-01903,GB,GB,BW high saline|warm,BW high saline|warm
BH-01904,GB,GB,BW high saline|warm,BW high saline|warm
BH-01906,SB,WRB,BW high saline|cold,BW high saline|cold
BH-01922,KB,WRB,BW high saline|cold,BW high saline|cold
BH-90307,SB,WRB,BW high saline|warm,BW high saline|warm
